Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746490809.27,37.87655838320438,-122.26030689217077,26.8,3.0,3.8,4.0,28.592109375,29.266327317590786,995.7160216887065,147.0158885806217,12535991.0
1746490814.27,37.87655838320438,-122.26030689217077,25.8,3.0,3.8,4.0,28.5615234375,29.128309118200896,995.7202932424174,146.9798187900294,12535991.0
1746490819.32,37.87651386788127,-122.26036236077748,24.6,3.0,4.0,4.0,28.5236328125,28.949935423360124,995.7191671302975,146.98932795717468,12535991.0
1746490824.25,37.87656884132458,-122.26033429168041,26.6,3.0,4.0,4.0,28.4851171875,28.802732899410415,995.7159697032027,147.016327556222,12535991.0
1746490829.3,37.87661001554365,-122.26028727479763,26.8,3.0,4.0,4.4,28.450742187499998,28.72350432965583,995.7032663068092,147.12359815411952,12535991.0
1746490834.26,37.87661547389174,-122.26029081594629,26.8,3.0,4.0,4.4,28.416093749999998,28.752673683421726,995.6925365936793,147.21420327830347,12535991.0
1746490839.29,37.87651907024918,-122.26037601809668,28.4,3.0,4.0,5.0,28.380859375,28.890253597097036,995.6985174717931,147.16369876051985,12535991.0
1746490844.26,37.87664187084573,-122.26012634040313,21.4,3.0,4.0,5.0,28.346328124999996,28.95488624624823,995.6851982657645,147.27617087678482,12535991.0
1746490849.27,37.87654442420164,-122.26033616390028,21.4,3.0,4.0,5.0,28.3144921875,28.941124534104954,995.6873858899423,147.25769769949355,12535991.0
1746490854.25,37.87657693326375,-122.26029911615481,27.6,3.0,4.0,5.0,28.284648437500003,29.319052326785737,995.688678553574,147.24678197757567,12535991.0
1746490859.29,37.876544531900656,-122.26028566943097,24.8,3.0,4.6,5.0,28.25546875,29.65100889098872,995.7000659130717,147.15062326483294,12535991.0
1746490864.27,37.87654343905217,-122.26028647369853,24.4,3.0,4.6,5.0,28.231796874999997,29.702395357226106,995.7045454196272,147.11279689798513,12535991.0
1746490869.32,37.87653841818038,-122.26029602160503,27.0,3.0,4.0,4.2,28.2087109375,29.99685279838834,995.6975095407668,147.17220998415996,12535991.0
1746490874.27,37.87654488168653,-122.26030663957751,23.0,3.0,4.0,4.2,28.187031249999997,30.46862555895488,995.6997086218129,147.15364025722118,12535991.0
1746490879.28,37.876530740881876,-122.26032992788979,24.8,3.0,3.4,4.0,28.187031249999997,30.46862555895488,995.6997086218129,147.15364025722118,12535991.0
1746490884.25,37.876530933920186,-122.26033082553379,28.2,3.0,3.4,4.0,28.159726562499998,30.5882176725588,995.7030703604893,147.12525272434158,12535991.0
1746490889.3,37.876486862244185,-122.26034486643348,26.4,3.0,4.0,4.0,28.1362109375,30.69935556798935,995.7064096747032,147.09705462142549,12535991.0
1746490894.25,37.876551443680626,-122.26029279532885,26.2,3.0,4.0,4.0,28.122109375,31.545740147791037,995.7061381444867,147.09934748872098,12535991.0
1746490899.27,37.876524241107575,-122.26026264092303,26.2,3.6,4.0,4.0,28.1076171875,32.2617151867678,995.7076498142135,147.08658255763243,12535991.0
1746490904.28,37.8765210700355,-122.26033602112182,26.2,3.6,4.0,4.0,28.090195312499997,32.02593666409693,995.7046998625616,147.11149273219033,12535991.0
1746490909.34,37.876508367619266,-122.2603523339015,29.2,3.6,4.0,4.0,28.07515625,31.281258498168285,995.7060049833717,147.10047195773828,12535991.0
1746490914.25,37.87653909328107,-122.2603128016787,26.6,3.6,4.0,4.0,28.0602734375,30.690388492252605,995.6985587144345,147.16335041479883,12535991.0
1746490919.27,37.87653506270631,-122.26034360030289,31.0,3.6,4.0,4.0,28.044296874999997,30.335305988027716,995.7021339828514,147.13315975004593,12535991.0
1746490924.27,37.8765350341587,-122.26034338675122,23.2,4.0,4.0,4.0,28.0302734375,30.092853585565177,995.7068345685859,147.0934667451623,12535991.0
1746490929.28,37.876530466419325,-122.26033159299695,31.6,4.0,4.0,4.0,28.015781249999996,29.926546811301698,995.6962165771487,147.18312816547072,12535991.0
1746490934.3,37.876510035143276,-122.26034726013222,27.8,4.0,4.8,4.8,28.002421875,29.798400506059085,995.6999267091587,147.15179864400787,12535991.0
1746490939.27,37.87651494335176,-122.26034537633238,28.2,4.0,4.8,4.8,27.9901953125,29.710521043208768,995.7048021134206,147.11062930290964,12535991.0
1746490944.28,37.876514670942434,-122.26034587318864,30.4,4.0,5.0,5.0,27.978828125,29.678389941591508,995.6968859145793,147.17747608591318,12535991.0
1746490949.21,37.87650433160991,-122.26034484665678,30.4,4.0,5.0,5.0,27.978828125,29.678389941591508,995.6968859145793,147.17747608591318,12535991.0
1746490954.28,37.87650433160991,-122.2603448466568,30.2,4.0,4.0,4.0,27.967851562499998,29.665209742584246,995.6965376241051,147.1804171693005,12535991.0
1746490959.29,37.876501738936646,-122.26035135053714,27.8,4.0,4.0,4.0,27.957460937500002,29.715493093452817,995.6957649918577,147.18694160110326,12535991.0
1746490964.32,37.876504528938774,-122.26034612095638,27.2,3.4,4.0,4.0,27.948398437499996,29.753661911453634,995.6892053556187,147.24233344085866,12535991.0
1746490969.25,37.87650548744965,-122.26034040783293,30.6,3.4,4.0,4.0,27.940976562499998,29.74189380316464,995.6891477310846,147.24282005772767,12535991.0
1746490974.29,37.87651730698755,-122.26033002508512,25.6,3.4,4.0,4.0,27.932656249999997,29.71335839430901,995.6879618166807,147.25283435986475,12535991.0
1746490979.25,37.87651006334521,-122.26033716071832,29.2,3.4,4.0,4.0,27.9237890625,29.66809812981465,995.6903805064927,147.23241003469016,12535991.0
1746490984.28,37.876509893482464,-122.26033673659396,24.0,3.0,4.4,4.4,27.917578125,29.625304341375347,995.6943873827579,147.19857450383105,12535991.0
1746490989.25,37.87650039606616,-122.26033766395342,29.4,3.0,4.4,4.4,27.9101171875,29.60131577864629,995.6894159704165,147.2405549366776,12535991.0
1746490994.29,37.8765192324158,-122.2603413333775,24.0,3.0,4.8,4.8,27.9028125,29.588461044600695,995.6808912938131,147.31254081259567,12535991.0
1746490999.26,37.87651684692413,-122.26033080525154,29.4,3.0,4.8,4.8,27.897812500000004,29.583585998142745,995.6775341473697,147.3408900301365,12535991.0
1746491004.26,37.876492230634035,-122.26033035333323,29.4,3.0,4.6,4.6,27.891914062499996,29.610872729295313,995.6803215184316,147.3173522082474,12535991.0
1746491009.3,37.876505558676406,-122.26034502587586,33.6,3.0,4.6,4.6,27.885585937500004,29.639237879467544,995.6862129711681,147.26760233182966,12535991.0
1746491014.28,37.87650542022571,-122.26034544319727,27.4,2.8,4.2,4.2,27.8796875,29.659860600270832,995.6879609701197,147.25284157986852,12535991.0
1746491019.28,37.876520092580094,-122.26034735909185,28.8,2.8,4.2,4.2,27.87109375,29.654673990503586,995.6838999560132,147.28713443583703,12535991.0
1746491024.25,37.87650162805476,-122.26033950780855,30.4,3.0,5.0,5.0,27.87109375,29.654673990503586,995.6838999560132,147.28713443583703,12535991.0
1746491029.25,37.87650944452896,-122.26032195751678,29.8,3.0,5.0,5.0,27.865234375,29.645274855741935,995.6860579689826,147.2689112092574,12535991.0
1746491034.28,37.87649997414615,-122.26034115331464,30.8,3.0,4.4,5.0,27.859257812499997,29.715965462515566,995.6918327683837,147.22014658707718,12535991.0
1746491039.25,37.876518607323746,-122.26033277506768,27.4,3.0,4.4,5.0,27.85515625,30.27750537178082,995.6992994542934,147.15709536802717,12535991.0
1746491044.31,37.87651830158363,-122.26033216598452,27.6,3.0,4.0,5.0,27.850351562500002,30.55422636918069,995.6934915487209,147.20613926895194,12535991.0
1746491049.26,37.876506015682764,-122.26031757022939,25.0,3.0,4.0,5.0,27.846015625,30.380524666826574,995.703343647297,147.12294503943627,12535991.0
1746491054.26,37.87651782010064,-122.26033953978465,25.0,3.0,4.0,4.4,27.841367187500005,30.180180430607777,995.6998697986379,147.15227922226342,12535991.0
1746491059.3,37.876489745283074,-122.26033477938859,29.2,3.0,4.0,4.4,27.835625,30.06254021291779,995.697717356338,147.17045515157582,12535991.0
1746491064.28,37.876513245594396,-122.26032686999625,28.0,3.0,4.0,5.0,27.8300390625,29.957267047665958,995.6999766938291,147.15137655534542,12535991.0
1746491069.27,37.87650427400396,-122.2603455626118,27.0,3.0,4.0,5.0,27.826289062500003,29.895665764255604,995.7014400764198,147.1390193373417,12535991.0
1746491074.28,37.87650410710047,-122.26034559807967,30.8,3.0,4.0,4.0,27.824179687500003,29.853163488736584,995.7052498864037,147.1068481864848,12535991.0
1746491079.25,37.876502910242365,-122.26034145430812,29.4,3.0,4.0,4.0,27.820664062500004,29.820572023781303,995.7112531908693,147.0561548317268,12535991.0
1746491084.28,37.87650461742403,-122.26033438948038,28.4,3.0,3.8,4.0,27.81484375,29.817843841305297,995.7145124197243,147.02863316758325,12535991.0
1746491089.25,37.87651780252709,-122.26032419503653,26.4,3.0,3.8,4.0,27.809921875000004,29.829665144803283,995.71612961632,147.01497722211133,12535991.0
1746491094.29,37.876517948020506,-122.26032450831514,30.0,3.0,3.6,4.0,27.804765625000005,29.8370135714135,995.7184008017593,146.99579888585123,12535991.0
1746491099.22,37.8765095746247,-122.26034299177736,27.4,3.0,3.6,4.0,27.804765625000005,29.8370135714135,995.7184008017593,146.99579888585123,12535991.0
1746491104.26,37.87651865160383,-122.26033724865296,27.4,3.4,4.4,4.4,27.799374999999998,29.822076127495944,995.7154393518643,147.02080596905327,12535991.0
1746491109.29,37.876517810343906,-122.26033892353888,26.4,3.4,4.4,4.4,27.791640625000003,29.815843274603743,995.7255978062673,146.9350263675727,12535991.0
1746491114.32,37.87650857170045,-122.26034473660539,24.2,3.2,5.0,5.0,27.7546875,29.907316421481205,995.7289983458965,146.90631171426858,12535991.0
1746491119.25,37.8765118397468,-122.26033414700422,25.2,3.2,5.0,5.0,27.750820312499997,30.29960620590108,995.7326915797981,146.8751257173958,12535991.0
1746491124.28,37.8765117952996,-122.26033413771738,25.2,3.6,5.6,5.6,27.754765624999997,30.516730152340575,995.7280879701702,146.91399906177259,12535991.0
1746491129.25,37.87651011969661,-122.26033385175447,30.6,3.6,5.6,5.6,27.753515625,30.558013990289833,995.7187649553243,146.99272391310484,12535991.0
1746491134.28,37.87651470935918,-122.26034555550824,29.8,4.0,6.0,7.0,27.7499609375,30.600222660666315,995.7229710872998,146.957206753982,12535991.0
1746491139.26,37.876520068186935,-122.2603237640592,23.6,4.0,6.0,7.0,27.7480859375,30.506077634045944,995.735127965374,146.85455270837505,12535991.0
1746491144.28,37.87651372348056,-122.26033894405333,31.0,3.2,5.2,6.2,27.744648437499997,30.487882551112413,995.7409112198809,146.80571865943622,12535991.0
1746491149.25,37.876511371761644,-122.2603467229061,28.8,3.2,5.2,6.2,27.7399609375,30.37234053591546,995.7397951103214,146.81514319937116,12535991.0
1746491154.27,37.8765113550645,-122.26032695860943,28.8,3.4,5.4,6.4,27.7357421875,30.23125078548233,995.7266376542002,146.92624583660992,12535991.0
1746491159.29,37.876518731479905,-122.26032793994686,31.6,3.4,5.4,6.4,27.729843749999997,30.12138182499978,995.7308045484071,146.8910599418299,12535991.0
1746491164.28,37.876519957588314,-122.26032331495549,28.4,3.6,5.6,6.6,27.723671875,30.047247401918373,995.7272515519619,146.92106182997594,12535991.0
1746491169.25,37.876518395800055,-122.26032657899074,26.4,3.6,5.6,6.6,27.7185546875,30.021164584724453,995.7306231797957,146.89259147963702,12535991.0
1746491174.25,37.8765178751919,-122.26032766702399,24.8,3.8,5.2,6.2,27.7185546875,30.021164584724453,995.7306231797957,146.89259147963702,12535991.0
1746491179.25,37.87651739461872,-122.26032867138288,29.8,3.8,5.2,6.2,27.7125,30.027327636477473,995.727608527243,146.91804752908314,12535991.0
1746491184.28,37.876517181024425,-122.26032911777516,32.0,3.4,5.4,6.4,27.708515625,30.041473323573392,995.7266074694741,146.9265005968405,12535991.0
1746491189.26,37.87651694962348,-122.2603296013786,30.8,3.4,5.4,6.4,27.7050390625,30.063468394885792,995.7330181111402,146.87236844262026,12535991.0
1746491194.28,37.876516833918956,-122.26032984318691,28.6,2.2,4.2,4.2,27.7013671875,30.079874133232472,995.7415315312606,146.80048074815267,12535991.0
1746491199.25,37.87651669808686,-122.26033012705709,32.8,2.2,4.2,4.2,27.698867187499996,30.113112498228766,995.7339653598847,146.8643697992805,12535991.0
1746491204.29,37.8765166256401,-122.26033027845928,26.8,3.0,5.0,5.0,27.696796875,30.167591106124952,995.7392221066593,146.81998155425808,12535991.0
1746491209.28,37.876516536371454,-122.26033046501456,26.8,3.0,5.0,5.0,27.695195312499997,30.17972494786584,995.7449020951847,146.77201960148577,12535991.0
1746491214.31,37.87651648677542,-122.26033056866008,32.2,2.4,4.4,4.4,27.6926171875,30.130416112913814,995.7448243349534,146.77267624457983,12535991.0
1746491219.25,37.87651642365008,-122.2603307005773,29.0,2.4,4.4,4.4,27.692499999999995,30.062380750665717,995.7425546803094,146.79184119582766,12535991.0
