Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746650937.26,37.87708804834011,-122.25747690090458,23.0,28.2,43.4,46.2,22.339921874999998,51.471426748597466,1004.4748765263496,73.31640444675999,12535991.0
1746650942.26,37.87708823119957,-122.25747692094377,18.4,28.2,43.4,46.2,22.3339453125,51.42775924982963,1004.4841528848652,73.23862692821244,12535991.0
1746650947.2,37.87708823119957,-122.25747692094377,18.4,28.2,43.4,46.2,22.3339453125,51.42775924982963,1004.4841528848652,73.23862692821244,12535991.0
1746650952.25,37.87708738473291,-122.25744609082479,22.0,28.2,43.4,46.2,22.32390625,51.406287723477156,1004.4880357117265,73.20607151429735,12535991.0
1746650957.32,37.87708653067985,-122.25746480887622,45.2,29.0,42.0,45.4,22.3059765625,51.39516127883894,1004.4925104653854,73.16855330534389,12535991.0
1746650962.2,37.8770827167098,-122.25743411521364,45.2,29.0,42.0,45.4,22.3059765625,51.39516127883894,1004.4925104653854,73.16855330534389,12535991.0
1746650967.28,37.877087425009215,-122.25744598975348,21.6,29.0,44.8,48.8,22.2940234375,51.38354009494289,1004.494233656617,73.15410538860233,12535991.0
1746650972.29,37.87708683472755,-122.2574463339667,20.8,29.0,44.8,48.8,22.2833203125,51.363252088144634,1004.4897970525038,73.19130363950288,12535991.0
1746650977.3,37.877081014083736,-122.25745174142644,19.4,28.0,44.8,48.2,22.272031249999998,51.35171907864625,1004.4788899908754,73.28275349480403,12535991.0
1746650982.27,37.877073701531934,-122.25747234793053,22.2,28.0,44.8,48.2,22.2630859375,51.34679138802468,1004.481844743181,73.2579796877396,12535991.0
1746650987.29,37.87707843759369,-122.25745943074115,21.6,27.0,43.0,47.6,22.25359375,51.338011710827274,1004.4869784186867,73.21493630358334,12535991.0
1746650992.25,37.877071697925636,-122.2574603331954,24.2,27.0,43.0,47.6,22.2426953125,51.34796619453623,1004.4883954887977,73.20305494925522,12535991.0
1746650997.28,37.87707794808073,-122.25746711028387,22.4,27.8,45.2,49.2,22.232304687499997,51.349159060223336,1004.4803572183785,73.27045155467303,12535991.0
1746651002.25,37.877077525721376,-122.25746775342901,23.6,27.8,45.2,49.2,22.22140625,51.35280916539945,1004.4752496533445,73.3132759995204,12535991.0
1746651007.28,37.8770951736291,-122.25747841051216,19.2,27.4,44.2,47.2,22.2116796875,51.34526066768058,1004.4851410735082,73.23034148771583,12535991.0
1746651012.25,37.877084846896174,-122.25749430536246,19.2,27.4,44.2,47.2,22.203203124999998,51.34922060138051,1004.4761703147493,73.3055566942307,12535991.0
1746651017.36,37.877085372956245,-122.2574740799024,23.0,26.8,44.6,46.0,22.1955859375,51.35707302683444,1004.4713777802724,73.34573982649033,12535991.0
1746651022.25,37.87708275020553,-122.25746957027368,17.8,26.8,44.6,46.0,22.1882421875,51.381354469299175,1004.4639506307649,73.40801331926698,12535991.0
1746651027.3,37.8770700181576,-122.25746340328838,22.8,26.6,44.4,46.8,22.179296875,51.39534380109107,1004.4641552405467,73.40629773829262,12535991.0
1746651032.22,37.87707881209266,-122.25747503092038,21.6,26.6,44.4,46.8,22.179296875,51.39534380109107,1004.4641552405467,73.40629773829262,12535991.0
1746651037.28,37.87707430403795,-122.2574735259104,21.4,26.0,44.8,47.4,22.169687500000002,51.40294291904907,1004.4495203070444,73.52900667944688,12535991.0
1746651042.25,37.87707401861065,-122.2574731367275,20.6,26.0,44.8,47.4,22.16015625,51.401723557984795,1004.4466883340253,73.55275180829878,12535991.0
1746651047.3,37.87707695632983,-122.2574492317362,22.0,26.2,45.4,47.6,22.151875,51.401925555229084,1004.4459384662147,73.55903923898069,12535991.0
1746651052.26,37.87708660395243,-122.25747512087206,23.0,26.2,45.4,47.6,22.143476562500002,51.40589624308025,1004.4491128336055,73.53242315022113,12535991.0
1746651057.3,37.87709738861755,-122.25747997313368,19.6,26.8,43.8,44.4,22.1361328125,51.4137858308336,1004.4403116199334,73.60621888469782,12535991.0
1746651062.23,37.87707194454487,-122.25747286342398,19.6,26.8,43.8,44.4,22.129609374999998,51.44196169353237,1004.4390564122265,73.61674349767648,12535991.0
1746651067.35,37.877093129229436,-122.25746627294885,22.8,29.6,44.2,46.2,22.124882812499997,51.46154080314452,1004.4418244537519,73.5935341529033,12535991.0
1746651072.25,37.87709254758552,-122.2574675741956,22.6,29.6,44.2,46.2,22.119414062500002,51.47976483899383,1004.4474754612172,73.54615197921551,12535991.0
1746651077.38,37.877086259835984,-122.25743472528873,24.4,31.0,44.4,46.4,22.113671875,51.504264747672934,1004.4475212920072,73.54576771046497,12535991.0
1746651082.25,37.87708362187468,-122.25748245862519,21.0,31.0,44.4,46.4,22.1080859375,51.52500164778976,1004.4488571580516,73.53456685045707,12535991.0
1746651087.3,37.87707924931029,-122.25743668821002,24.2,30.8,44.8,46.8,22.1015234375,51.55445059155933,1004.4523420470323,73.50534713693726,12535991.0
1746651092.25,37.877098408813076,-122.25743774191712,19.0,30.8,44.8,46.8,22.095703124999996,51.57011336403765,1004.4501974973064,73.52332853440531,12535991.0
1746651097.31,37.8770918284124,-122.25747987410918,19.6,31.4,45.4,48.2,22.0880078125,51.59816125158991,1004.4490483832755,73.53296347291914,12535991.0
1746651102.26,37.87709143929062,-122.25747996192779,25.0,31.4,45.4,48.2,22.0819921875,51.60875203341486,1004.4383395585688,73.6227542027055,12535991.0
1746651107.26,37.87709449147937,-122.25748132109699,25.4,32.0,46.0,49.6,22.0819921875,51.60875203341486,1004.4383395585688,73.6227542027055,12535991.0
1746651112.25,37.877080614378194,-122.2574701408146,25.4,32.0,46.0,49.6,22.0765625,51.621943822782114,1004.4371887804497,73.63240318400499,12535991.0
1746651117.32,37.87708481631083,-122.25745830751517,21.4,32.2,47.8,52.2,22.069492187499996,51.65007873823073,1004.4322747195636,73.67360661248117,12535991.0
1746651122.29,37.87708154549611,-122.25744484992286,22.0,32.2,47.8,52.2,22.063203124999998,51.664425538236614,1004.4320948046892,73.67511521838605,12535991.0
1746651127.3,37.87708084791756,-122.25744534132899,20.4,31.4,47.4,52.4,22.056328125,51.682487330069854,1004.4264761125412,73.72222697993637,12535991.0
1746651132.25,37.87707959589191,-122.25745253301064,21.2,31.4,47.4,52.4,22.0498046875,51.72712323350875,1004.4259054083197,73.72701229762377,12535991.0
1746651137.31,37.87708589353326,-122.25745805840394,19.6,30.8,48.2,52.8,22.046445312499998,51.787338320880565,1004.4302628859256,73.69047550980355,12535991.0
1746651142.26,37.877077151546324,-122.25747981985467,21.0,30.8,48.2,52.8,22.038867187499996,51.80784743812742,1004.4320536839135,73.67545995570916,12535991.0
1746651147.28,37.87708698250725,-122.25748789416151,24.4,28.4,45.0,49.0,22.0290625,51.82301727388186,1004.4184640653857,73.78940712682358,12535991.0
1746651152.25,37.877079126353834,-122.25746395479167,20.0,28.4,45.0,49.0,22.020351562500004,51.83074467738068,1004.4173372129183,73.79885563108738,12535991.0
1746651157.28,37.877078648947275,-122.25746321985909,19.4,29.0,45.2,47.4,22.014374999999998,51.83250411067377,1004.4163038258037,73.80752043668076,12535991.0
1746651162.25,37.87709070782494,-122.25747310462158,19.6,29.0,45.2,47.4,22.007929687500003,51.851899641048064,1004.4079677970676,73.87741763900276,12535991.0
1746651167.28,37.877071881464055,-122.25746737726395,19.6,28.8,45.2,47.2,22.0009765625,51.85606168115239,1004.4042773850103,73.90836171676129,12535991.0
1746651172.32,37.877089951603786,-122.25745810656558,19.2,28.8,45.2,47.2,21.996132812499997,51.85543872053101,1004.4016987498342,73.92998359587912,12535991.0
1746651177.29,37.877078889721915,-122.25744594981225,19.6,28.8,45.4,46.4,21.9909765625,51.850983648790404,1004.40237487441,73.92431429237391,12535991.0
1746651182.22,37.87708928743085,-122.25748567842452,19.4,28.8,45.4,46.4,21.9909765625,51.850983648790404,1004.40237487441,73.92431429237391,12535991.0
1746651187.29,37.87708959993192,-122.25748564008008,19.8,28.8,49.0,50.4,21.985,51.83757540748896,1004.402370544332,73.92435062089163,12535991.0
1746651192.26,37.87708775660019,-122.25747150592015,21.0,28.8,49.0,50.4,21.9780078125,51.83541258232501,1004.3914069347353,74.01628106541663,12535991.0
1746651197.29,37.877105965218405,-122.25747025344764,24.0,28.8,49.0,50.4,21.972578125000002,51.822076254527914,1004.391627114006,74.01443484435852,12535991.0
1746651202.28,37.87699209930186,-122.25739414668614,21.2,29.4,53.0,55.6,21.96796875,51.82148384315586,1004.3942435770981,73.99249563026387,12535991.0
1746651207.26,37.877061815226384,-122.25746636857347,20.8,29.4,53.0,55.6,21.962890625,51.82335890683521,1004.396078908133,73.9771062831069,12535991.0
1746651212.29,37.87708308231108,-122.25747810103574,19.2,29.2,51.4,54.8,21.9574609375,51.82898031037952,1004.3921801509556,74.00979770696381,12535991.0
1746651217.24,37.87708080277767,-122.2574811619689,19.2,29.2,51.4,54.8,21.9516796875,51.83076521535405,1004.388038810602,74.04452311932057,12535991.0
1746651222.35,37.87704703308418,-122.25752235632606,19.2,27.4,47.4,52.2,21.946445312499996,51.83893972878998,1004.3885838060785,74.0399532702392,12535991.0
1746651227.28,37.87710306251371,-122.25738658628538,20.6,27.4,47.4,52.2,21.9411328125,51.84078463747424,1004.385223332674,74.06813163901177,12535991.0
1746651232.28,37.877038583176564,-122.25740999091717,23.0,27.4,46.6,52.0,21.93625,51.85785247807322,1004.374685165136,74.15649564524699,12535991.0
1746651237.25,37.87707806345795,-122.25743559648772,19.8,27.4,46.6,52.0,21.93203125,51.87627133767179,1004.3625079614887,74.25860444831005,12535991.0
1746651242.28,37.87708148921254,-122.25747665301186,23.2,26.4,44.6,49.4,21.927617187499997,51.887081065556835,1004.3651058872138,74.2368200809735,12535991.0
1746651247.28,37.877034702602685,-122.25748280340022,21.0,26.4,44.6,49.4,21.922265625,51.897770867494856,1004.365455232637,74.2338907237029,12535991.0
1746651252.26,37.877068715384326,-122.25745677110017,21.8,26.4,46.4,49.6,21.922265625,51.897770867494856,1004.365455232637,74.2338907237029,12535991.0
1746651257.29,37.87710129443343,-122.25741654175323,23.0,26.4,46.4,49.6,21.918320312500004,51.895999416318276,1004.3540769158665,74.32930159687781,12535991.0
1746651262.29,37.877036409441466,-122.25733676175457,20.6,28.0,47.6,52.0,21.9142578125,51.90432678689713,1004.3603489979141,74.27670798280984,12535991.0
1746651267.26,37.87703401545444,-122.25733946732011,23.8,28.0,47.6,52.0,21.9099609375,51.90503863531266,1004.3638281460828,74.24753428106395,12535991.0
1746651272.3,37.87701621626541,-122.25743782117662,23.8,28.8,48.4,52.4,21.905703125,51.88805621742714,1004.3567336601973,74.30702370558497,12535991.0
1746651277.3,37.8770329001383,-122.25738044374641,22.0,28.8,48.4,52.4,21.9017578125,51.874907896735294,1004.3529053055048,74.33912573659047,12535991.0
1746651282.3,37.87705442782671,-122.25736616083601,24.4,27.6,44.6,49.2,21.8975,51.88194519433391,1004.3564492752051,74.30940836683477,12535991.0
1746651287.25,37.87706131233884,-122.25753117806006,22.6,27.6,44.6,49.2,21.892929687499997,51.888942507306936,1004.3563838572612,74.30995692387724,12535991.0
