Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746566011.68,37.87631350997644,-122.25934602273833,26.2,6.6,12.4,14.6,23.171875,50.002919018533895,1002.0475108415278,93.68865893564985,12535991.0
1746566016.68,37.87630743600576,-122.25933709600329,28.2,6.6,12.4,14.6,23.1709375,49.96395950268659,1002.0342639347793,93.79994608432823,12535991.0
1746566021.71,37.87630743600342,-122.25933709600925,26.8,7.0,12.6,15.6,23.168593750000003,50.03885321343398,1002.0351866551275,93.79219417442712,12535991.0
1746566026.68,37.876318475016895,-122.25933373030038,28.4,7.0,12.6,15.6,23.168671874999998,50.166742440134,1002.0466629718779,93.69578183927892,12535991.0
1746566031.71,37.87632488224312,-122.25934089466377,28.2,8.0,13.0,16.4,23.168124999999996,50.223120286512845,1002.0736058076706,93.46943791286148,12535991.0
1746566036.68,37.87633489059238,-122.25933632670309,23.0,8.0,13.0,16.4,23.167460937500003,50.225545414737596,1002.060812888564,93.57690917419902,12535991.0
1746566041.71,37.87631203728445,-122.25933872471876,24.4,9.2,14.2,18.2,23.165703125,50.23535963535833,1002.0561753802147,93.61586828805054,12535991.0
1746566046.67,37.87631542744803,-122.25934593486193,24.4,9.2,14.2,18.2,23.164882812500004,50.222709280110664,1002.0555011667814,93.62153233239377,12535991.0
1746566051.71,37.87631533023164,-122.2593457324029,26.6,9.4,14.4,17.8,23.163125,50.17983644593513,1002.0628978570348,93.55939351337099,12535991.0
1746566056.74,37.87632222640791,-122.25935482227915,30.0,9.4,14.4,17.8,23.159375,50.1530227453955,1002.0587350382341,93.59436487402452,12535991.0
1746566061.71,37.876303745907286,-122.25936101175775,23.0,10.2,14.2,16.8,23.1576953125,50.23435146779218,1002.0490697760391,93.67556201200304,12535991.0
1746566066.69,37.876297849863946,-122.25939074881457,25.0,10.2,14.2,16.8,23.155546875,50.340749807701556,1002.0626944095286,93.56110269395252,12535991.0
