Time,PM 1.0: %d	,PM2.5: %d	,PM10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1739405193.2090015,2,3,3,444,124,23,1,0,0
1739405194.2101023,2,3,3,456,126,23,0,0,0
1739405195.2115808,2,3,3,456,126,23,0,0,0
1739405196.212587,2,3,3,456,126,23,0,0,0
1739405197.2140348,2,4,4,561,161,27,0,0,0
1739405198.2155666,2,4,4,561,161,27,0,0,0
1739405199.2168489,2,4,4,561,161,27,0,0,0
1739405200.218116,3,4,4,591,168,30,0,0,0
1739405201.2193837,3,4,4,591,168,30,0,0,0
1739405202.2206326,3,4,4,591,168,30,0,0,0
1739405203.222131,2,4,4,594,166,24,0,0,0
1739405204.2235749,2,4,4,594,166,24,0,0,0
1739405205.225045,2,4,4,594,166,24,0,0,0
1739405206.2264545,2,4,4,588,171,30,0,0,0
1739405207.2277207,2,4,4,588,171,30,0,0,0
1739405208.228987,2,4,4,588,171,30,0,0,0
1739405209.230267,2,4,4,588,176,30,0,0,0
1739405210.2315376,2,4,4,588,176,30,0,0,0
1739405211.2328587,2,4,4,588,176,30,0,0,0
1739405212.2344158,3,4,4,606,185,30,0,0,0
1739405213.235908,3,4,4,606,185,30,0,0,0
1739405214.2373126,3,4,4,606,185,30,0,0,0
1739405215.238712,2,4,4,594,177,31,0,0,0
1739405216.240249,2,4,4,594,177,31,0,0,0
1739405217.2418296,2,4,4,594,177,31,0,0,0
1739405218.2432446,2,4,4,570,170,27,0,0,0
1739405219.2447755,2,4,4,570,170,27,0,0,0
1739405220.2463083,2,4,4,570,170,27,0,0,0
1739405221.2478342,2,4,4,564,168,22,0,0,0
1739405222.2492616,2,4,4,564,168,22,0,0,0
1739405223.2507253,2,4,4,564,168,22,0,0,0
