Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1740007042.3819041,34.018671875,14852,100,0,0,0,153,43,6,0,0,0
1740007043.3930118,23.4473828125,7991,52.259517604662165,0,0,0,153,43,6,0,0,0
1740007044.403703,23.4883984375,12949,52.16775843299699,0,0,0,147,45,5,0,0,0
1740007045.4143786,23.5360546875,16894,52.06477257198446,0,0,0,147,45,5,0,0,0
1740007046.4251266,23.5821484375,19901,51.94950427438184,0,0,0,147,45,5,0,0,0
1740007047.4369602,23.62453125,22622,51.845932070349434,3,3,3,987,196,6,0,0,0
1740007048.4476008,23.6637890625,24851,51.76017250448179,3,3,3,981,194,11,0,0,0
1740007049.458255,23.696796875,26832,51.75235866782202,3,4,4,1221,232,12,0,0,0
1740007050.468948,23.7258984375,28466,51.756151084394716,6,7,7,1983,425,15,0,0,0
1740007051.479629,23.74796875,30138,51.7529703265551,6,7,7,1995,429,15,0,0,0
1740007052.490316,23.76359375,31587,51.71866446749452,6,7,7,1983,427,16,0,0,0
1740007053.502195,23.7735546875,33207,51.61097497171564,6,8,8,1989,429,17,0,0,0
1740007054.5139308,23.785859375,34458,51.55810513030089,5,7,7,1968,424,15,0,0,0
1740007055.5250444,23.7925,35505,51.55291715706616,5,7,7,1989,429,17,1,0,0
1740007056.5368645,23.79953125,36777,51.53567810059644,5,8,8,2022,440,22,2,0,0
1740007057.548716,23.802265625,38075,51.48763336609343,3,6,6,1203,296,26,2,0,0
1740007058.5605686,23.79796875,39211,51.39635999560896,3,5,5,1203,294,22,2,0,0
1740007059.5723996,23.7899609375,40108,51.27443924244023,2,5,5,984,259,22,2,0,0
1740007060.584263,23.7825390625,40967,51.20702815149056,2,5,5,984,259,22,2,0,0
1740007061.5961263,23.77765625,42073,51.17620027806436,2,5,5,984,259,22,2,0,0
1740007062.6079407,23.7692578125,43152,51.17511469605544,0,1,1,222,66,19,2,0,0
1740007063.6197882,23.7575390625,43918,51.08304433844427,0,1,1,222,66,19,2,0,0
1740007064.6311815,23.740546875,44807,50.9722473270008,0,1,1,222,66,19,2,0,0
1740007065.6427507,23.720234375,45633,50.81890470279338,0,1,1,222,66,19,2,0,0
1740007066.6545258,23.69875,46904,50.67157025672885,0,1,1,222,66,19,2,0,0
1740007067.6664157,23.68078125,47486,50.50676418299503,0,1,1,222,66,19,2,0,0
1740007068.6781948,23.660859375,48612,50.32383603731695,0,2,2,222,66,18,2,0,0
