Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d,Particles > 0.3um / 0.1L air,Particles > 0.5um / 0.1L air,Particles > 1.0um / 0.1L air,Particles > 2.5um / 0.1L air,Particles > 5.0um / 0.1L air,Particles > 10um / 0.1L air
1740008003.1690836,34.018671875,64751,100,0,0,0,111,33,6,1,0,0
1740008004.1801758,23.0784375,27109,53.03222648702132,0,0,0,111,33,6,1,0,0
1740008005.1909425,23.1188671875,45436,52.95225633900185,0,0,0,99,33,5,1,0,0
1740008006.2016916,23.1641796875,60034,52.82424483183476,0,0,0,99,33,5,1,0,0
1740008007.2123806,23.2048046875,70805,52.7017772160691,0,0,0,99,33,5,1,0,0
1740008008.2236683,23.2399609375,78693,52.54217962221493,0,0,0,84,28,5,1,0,0
1740008009.235473,23.270625,84891,52.4124940024655,0,0,0,84,28,5,1,0,0
1740008010.2473402,23.295234375,89980,52.282097929344616,0,0,0,84,28,5,1,0,0
1740008011.2593641,23.3173046875,94427,52.157522285958194,0,0,0,90,30,5,1,0,0
1740008012.2711287,23.3356640625,95798,52.05073219336819,0,0,0,90,30,5,1,0,0
1740008013.2829528,23.352265625,99130,51.943770362487896,0,0,0,90,30,5,1,0,0
1740008014.2952702,23.3669140625,101525,51.854785659576315,0,0,0,99,33,6,1,0,0
1740008015.3071983,23.378828125,103781,51.79576409209268,0,0,0,99,33,6,1,0,0
1740008016.3183737,23.38859375,105606,51.7243724436253,0,0,0,99,33,6,1,0,0
1740008017.3303037,23.3977734375,107086,51.67108667451611,0,0,0,84,28,5,0,0,0
1740008018.3410044,23.406953125,108748,51.62386588340523,0,0,0,84,28,5,0,0,0
1740008019.3516958,23.4149609375,110754,51.57045514379397,0,0,0,84,28,5,0,0,0
1740008020.3623378,23.4223828125,111489,51.535126002572554,0,0,0,96,32,5,0,0,0
1740008021.3730323,23.4284375,112533,51.4875327338936,0,0,0,96,32,5,0,0,0
1740008022.383702,23.433515625,113829,51.45191495214078,0,0,0,96,32,5,0,0,0
1740008023.3958707,23.4387890625,114997,51.3981973381008,0,0,0,105,30,2,0,0,0
1740008024.4078116,23.443671875,116028,51.362570688406265,0,0,0,105,30,2,0,0,0
1740008025.41965,23.44875,116269,51.31489360601979,0,0,0,105,30,2,0,0,0
1740008026.4309282,23.4536328125,117982,51.297402413351364,0,0,0,117,34,3,0,0,0
1740008027.4427419,23.4575390625,118231,51.26166810467741,0,0,0,117,34,3,0,0,0
1740008028.4546018,23.4610546875,119492,51.23192818915007,0,0,0,117,34,3,0,0,0
1740008029.4664648,23.464765625,119407,51.19618085233762,0,0,0,123,36,4,0,0,0
1740008030.4783585,23.467890625,120433,51.17243693109236,0,0,0,123,36,4,0,0,0
1740008031.4901464,23.471796875,120261,51.14276111756097,0,0,0,123,36,4,0,0,0
1740008032.5013943,23.4758984375,120953,51.10708066651189,0,0,0,102,29,3,0,0,0
1740008033.5132718,23.4784375,121653,51.09533956915734,0,0,0,102,29,3,0,0,0
1740008034.5250313,23.4821484375,122362,51.05358496409582,0,0,0,102,29,3,0,0,0
1740008035.536905,23.4848828125,122451,51.023776628792135,0,0,0,96,27,3,0,0,0
1740008036.5487714,23.487421875,123078,50.98791735614197,0,0,0,96,27,3,0,0,0
1740008037.5606313,23.4907421875,123078,50.958194643099105,0,0,0,96,27,3,0,0,0
1740008038.572477,23.4923046875,123986,50.934279257715104,0,0,0,123,36,3,0,0,0
1740008039.5844238,23.4940625,123803,50.89833664230781,0,0,0,123,36,3,0,0,0
1740008040.596319,23.49484375,124907,50.886382386793116,0,0,0,123,36,3,0,0,0
1740008041.6082952,23.4969921875,125279,50.850499121859855,0,0,0,123,36,3,0,0,0
1740008042.6202216,23.4997265625,125186,50.83277305444825,0,0,0,123,36,3,0,0,0
1740008043.632216,23.50265625,125748,50.82712363241769,0,0,0,123,36,3,0,0,0
1740008044.644128,23.5055859375,125842,50.827499478204096,0,0,0,141,40,2,0,0,0
1740008045.656031,23.50734375,125936,50.803625599864674,0,0,0,141,40,2,0,0,0
1740008046.6678872,23.5096875,126315,50.803926180152445,0,0,0,141,40,2,0,0,0
1740008047.67975,23.513984375,127079,50.804477263061706,0,0,0,144,41,2,0,0,0
1740008048.6916678,23.5165234375,126315,50.79877845687855,0,0,0,144,41,2,0,0,0
1740008049.7034793,23.5196484375,127367,50.799179233819956,0,0,0,144,41,2,0,0,0
1740008050.7154236,23.5221875,127561,50.793480549670704,0,0,0,144,41,3,1,0,0
1740008051.7272727,23.527265625,127755,50.78810761208625,0,0,0,144,41,3,1,0,0
1740008052.7383583,23.531171875,127367,50.80065721145182,0,0,0,144,41,3,1,0,0
1740008053.750132,23.5348828125,128536,50.777036506605285,0,0,0,135,43,4,1,0,0
1740008054.7620003,23.5383984375,128144,50.78351122042101,0,0,0,135,43,4,1,0,0
1740008055.7739263,23.540546875,128536,50.771739053080765,0,0,0,135,43,4,1,0,0
1740008056.7857065,23.543671875,128634,50.79021168620971,0,0,0,123,38,3,1,0,0
1740008057.7977033,23.5471875,128733,50.766566919681935,0,0,0,123,38,3,1,0,0
1740008058.8094523,23.5501171875,129626,50.76091910300246,0,0,0,123,38,3,1,0,0
1740008059.821316,23.5534375,129826,50.749298408124304,0,0,0,108,33,2,1,0,0
1740008060.8330932,23.5567578125,128930,50.74972404648918,0,0,0,108,33,2,1,0,0
1740008061.844998,23.5614453125,129726,50.73225658938512,0,0,0,108,33,2,1,0,0
1740008062.8568141,23.56515625,130128,50.72670977288494,0,0,0,108,33,2,1,0,0
1740008063.8685474,23.5692578125,129626,50.73325792275448,0,0,0,108,33,2,1,0,0
1740008064.880467,23.5731640625,130431,50.72773608611059,0,0,0,108,33,2,1,0,0
1740008065.8923512,23.5743359375,130735,50.72788628545733,0,0,0,114,35,3,2,0,0
1740008066.9042795,23.576484375,131245,50.71611710748401,0,0,0,114,35,3,2,0,0
1740008067.9162076,23.578046875,132174,50.70427355563557,0,0,0,114,35,3,2,0,0
1740008068.9281375,23.5790234375,130633,50.69235566757636,0,0,0,102,29,3,2,0,0
1740008069.9399056,23.5790234375,131450,50.674292639659086,0,0,0,102,29,3,2,0,0
1740008070.9517334,23.5784375,131041,50.66217658913477,0,0,0,102,29,3,2,0,0
1740008071.9635408,23.576484375,131143,50.65590631705257,0,0,0,114,31,4,2,0,0
1740008072.9747713,23.576484375,131245,50.643866549075014,0,0,0,114,31,4,2,0,0
1740008073.986533,23.576484375,131143,50.643866549075014,0,0,0,114,31,4,2,0,0
1740008074.9983993,23.576875,133010,50.64391655275669,0,0,0,96,25,4,2,0,0
1740008076.010369,23.576484375,131656,50.619789403228616,0,0,0,96,25,4,2,0,0
1740008077.0222595,23.576484375,131863,50.619789403228616,0,0,0,96,25,4,2,0,0
1740008078.0329874,23.576875,132174,50.60780200148345,0,1,1,108,29,7,3,0,0
1740008079.043678,23.576484375,132070,50.589697452374494,0,1,1,108,29,7,3,0,0
1740008080.0544178,23.5758984375,131759,50.58360472348585,0,1,1,108,29,7,3,0,0
1740008081.0650132,23.5753125,132800,50.571494827498434,0,0,0,108,29,6,2,0,0
